timestamp,x_cnc,y_cnc,z_cnc,timestamp_mag,timestamp_ft,Bx1,By1,Bz1,Bx2,By2,Bz2,Bx3,By3,Bz3,Bx4,By4,Bz4,Bx5,By5,Bz5,tx,ty,tz,fx,fy,fz
5.365844964981079102e+00,0.000000000000000000e+00,4.000000000000000000e+00,-1.199999999999999956e+00,5.364713907241821289e+00,5.364713907241821289e+00,7.971000000000000796e+01,-7.196399999999999864e+01,9.428280000000000882e+01,-5.085000000000000142e+01,-1.193999999999999950e+00,8.851439999999999486e+01,7.943399999999999750e+01,4.225199999999999534e+01,1.161896000000000129e+02,-1.215480000000000018e+02,-7.899000000000000909e+01,9.230880000000000507e+01,8.273400000000000887e+01,-1.238400000000000034e+02,9.568680000000000518e+01,-5.632927789120003095e-03,-2.269423787947744131e-02,-1.302497944235801730e-01,-8.271644837805071067e-04,5.163940526545047691e-03,-9.232258200645446222e-02
8.427975177764892578e+00,0.000000000000000000e+00,6.000000000000000000e+00,-1.199999999999999956e+00,8.427779197692871094e+00,8.427779197692871094e+00,7.646999999999999886e+01,-7.212000000000000455e+01,9.806800000000001205e+01,-4.914000000000000057e+01,-4.290000000000000924e+00,9.056640000000000157e+01,7.896599999999999397e+01,4.153199999999999648e+01,1.161495999999999924e+02,-1.220040000000000191e+02,-7.985999999999999943e+01,9.196959999999999980e+01,7.789799999999999613e+01,-1.241040000000000134e+02,9.590919999999999845e+01,-2.460177842949633729e-03,2.436149271961767296e-02,-1.304827660322189220e-01,-1.060250611975789049e-02,6.286793528124690403e-03,-1.263529005646705783e-01
1.151202511787414551e+01,0.000000000000000000e+00,8.000000000000000000e+00,-1.199999999999999956e+00,1.151302409172058105e+01,1.151302409172058105e+01,7.620600000000000307e+01,-7.170000000000000284e+01,9.776800000000000068e+01,-4.709400000000000119e+01,-3.990000000000000213e+00,9.246320000000000050e+01,7.910999999999999943e+01,4.141199999999999903e+01,1.149112000000000080e+02,-1.220940000000000083e+02,-8.024399999999999977e+01,9.243439999999999657e+01,7.870799999999999841e+01,-1.242060000000000031e+02,9.633520000000000039e+01,3.759308457374573031e-02,6.817776754498482139e-02,-1.294365039467811618e-01,-9.398162578863776193e-03,2.879283742513507986e-03,-1.277940505743026811e-01
1.449652600288391113e+01,0.000000000000000000e+00,1.000000000000000000e+01,-1.199999999999999956e+00,1.449600195884704590e+01,1.449600195884704590e+01,7.768200000000000216e+01,-7.105200000000000671e+01,9.756520000000000437e+01,-4.626599999999999824e+01,-3.804000000000000270e+00,9.050799999999999557e+01,7.776600000000000534e+01,4.224600000000000222e+01,1.160344000000000051e+02,-1.211760000000000019e+02,-8.104200000000000159e+01,9.346040000000000703e+01,7.867799999999999727e+01,-1.225500000000000114e+02,9.866840000000000543e+01,2.658476345241069655e-02,-5.793135719373822268e-02,-1.260538649559020952e-01,2.607185093220323532e-03,2.400654739176388830e-04,-9.925595037639139973e-02
1.758400988578796387e+01,0.000000000000000000e+00,1.200000000000000000e+01,-1.199999999999999956e+00,1.758592891693115234e+01,1.758592891693115234e+01,7.707599999999999341e+01,-7.127400000000000091e+01,9.777719999999999345e+01,-4.606799999999999784e+01,-5.177999999999999936e+00,9.211480000000000246e+01,7.868399999999999750e+01,4.299000000000000199e+01,1.137020000000000124e+02,-1.199219999999999970e+02,-8.192400000000000659e+01,9.389639999999999986e+01,7.898400000000000887e+01,-1.225859999999999985e+02,1.000619999999999976e+02,7.427090413868428498e-02,-4.059415064286440999e-02,-1.184482607245445351e-01,-1.918943785130977631e-02,-1.033962098445044900e-03,-1.584927858412265855e-01
2.087067389488220215e+01,2.000000000000000000e+00,4.000000000000000000e+00,-1.199999999999999956e+00,2.087044310569763184e+01,2.087044310569763184e+01,7.752000000000001023e+01,-7.165200000000000102e+01,9.628679999999999950e+01,-4.498199999999999932e+01,-5.274000000000000909e+00,9.071080000000000609e+01,7.778999999999999204e+01,4.158599999999999852e+01,1.168175999999999988e+02,-1.199580000000000126e+02,-8.370000000000000284e+01,9.592000000000000171e+01,7.966199999999999193e+01,-1.234919999999999902e+02,9.984000000000000341e+01,1.675764521956443764e-01,-3.826802785799372775e-02,-1.199029281735420338e-01,-2.113125470932572872e-03,-1.397005137056112414e-02,-2.186533543467521767e-01
2.395522403717041016e+01,2.000000000000000000e+00,6.000000000000000000e+00,-1.199999999999999956e+00,2.395649409294128418e+01,2.395649409294128418e+01,7.792799999999999727e+01,-7.330199999999999250e+01,9.574479999999999791e+01,-4.894200000000000017e+01,-3.342000000000000082e+00,8.974360000000000070e+01,8.065200000000000102e+01,4.228799999999999670e+01,1.135279999999999916e+02,-1.219140000000000157e+02,-8.116200000000000614e+01,9.161159999999999570e+01,7.970400000000000773e+01,-1.241640000000000015e+02,9.310200000000000387e+01,1.722897714376449563e-01,9.258143865154125352e-03,-1.221938335895538380e-01,-1.397351774794515240e-03,-1.065486693521961598e-02,-2.255613467097282443e-01
2.703902220726013184e+01,2.000000000000000000e+00,8.000000000000000000e+00,-1.199999999999999956e+00,2.703848695755004883e+01,2.703848695755004883e+01,7.931999999999999318e+01,-7.178400000000000603e+01,9.446720000000000539e+01,-4.794600000000000506e+01,-2.585999999999999854e+00,8.760360000000000014e+01,8.051400000000001000e+01,4.284000000000000341e+01,1.134596000000000089e+02,-1.200540000000000020e+02,-8.278800000000001091e+01,9.136959999999999127e+01,8.244000000000001194e+01,-1.222320000000000135e+02,9.561879999999999313e+01,1.777255368232726895e-01,3.636946388753131004e-02,-1.245692545175552252e-01,-1.012342446250841070e-02,-1.553518012166023310e-02,-2.805447888374328347e-01
3.002294921875000000e+01,2.000000000000000000e+00,1.000000000000000000e+01,-1.199999999999999956e+00,3.002354502677917480e+01,3.002354502677917480e+01,7.747799999999999443e+01,-7.222200000000000841e+01,9.473760000000000048e+01,-4.790399999999999636e+01,-3.636000000000000121e+00,8.805920000000000414e+01,7.816200000000000614e+01,4.376399999999999579e+01,1.166051999999999964e+02,-1.210440000000000111e+02,-8.106000000000000227e+01,9.138800000000000523e+01,8.025000000000000000e+01,-1.241760000000000161e+02,9.517400000000000659e+01,2.718891972303391080e-01,-8.190796086564659795e-02,-1.318591362237930276e-01,-1.212177108973264660e-02,-1.828400308557320483e-02,-2.843707692623138605e-01
3.300602793693542480e+01,2.000000000000000000e+00,1.200000000000000000e+01,-1.199999999999999956e+00,3.300381708145141602e+01,3.300381708145141602e+01,7.697400000000000375e+01,-7.147800000000000864e+01,9.468919999999999959e+01,-4.643999999999999773e+01,-3.168000000000000149e+00,8.743039999999999168e+01,8.061599999999999966e+01,4.265999999999999659e+01,1.141852000000000089e+02,-1.207439999999999998e+02,-8.278799999999999670e+01,9.155400000000000205e+01,7.925400000000000489e+01,-1.226880000000000024e+02,9.610280000000000200e+01,1.297642399370670385e-01,-1.930328333377838157e-01,-1.238860803842544572e-01,-1.659080319106578938e-02,-1.446572419255971742e-02,-3.297729235887527643e-01
3.639461207389831543e+01,4.000000000000000000e+00,0.000000000000000000e+00,-1.199999999999999956e+00,3.639237093925476074e+01,3.639237093925476074e+01,7.841399999999998727e+01,-7.143000000000000682e+01,9.530039999999999623e+01,-4.660800000000000409e+01,-2.844000000000000306e+00,8.965560000000000684e+01,7.959000000000000341e+01,4.277400000000000091e+01,1.136043999999999983e+02,-1.208340000000000032e+02,-8.390399999999999636e+01,9.237760000000000105e+01,8.016599999999999682e+01,-1.235039999999999907e+02,9.734280000000001110e+01,7.623060137033463302e-02,-1.111826592311263018e-01,-1.264808344841003573e-01,-2.047549301758408435e-02,-7.756180926880915441e-03,-2.277025054395198922e-01
